rmsd_ca,end_to_end,protein_lipid_sep,rg_ca,lipid_plane_dist,contacts,phi_avg,psi_avg,helix_fraction,phi12
3.002417025696538122e+00,2.253369199421541325e+01,7.477468183142505609e+01,9.382206781285495012e+00,5.756000137329101562e+01,2.000000000000000000e+00,-5.532016665230868568e+01,-1.839990796298389597e+01,8.285714285714286254e-01,-5.916672645677234499e+01
2.861508299675135536e+00,2.109132561155174912e+01,7.184111902262115734e+01,9.364662837654828209e+00,5.910000228881835938e+01,4.000000000000000000e+00,-5.626939296502728638e+01,-1.665070981152165075e+01,8.000000000000000444e-01,-7.000920922803619817e+01
3.393721628862146122e+00,2.555206051396161726e+01,6.904485859583087404e+01,9.791330583348539562e+00,5.918000030517578125e+01,3.000000000000000000e+00,-5.763907403287016251e+01,-1.679478384373663857e+01,8.285714285714286254e-01,-7.713663235923435479e+01
2.989180550779782397e+00,2.409823105951581823e+01,7.120319181140682474e+01,9.549957479732414711e+00,5.839000320434570312e+01,5.000000000000000000e+00,-5.766064111072849840e+01,-1.456109423239578504e+01,7.714285714285714635e-01,-5.318345646093123236e+01
3.188783795959369893e+00,2.330352987900715434e+01,6.955558959334949520e+01,9.538831430171295978e+00,6.035000228881835938e+01,0.000000000000000000e+00,-5.946059275011694467e+01,-1.424385641797306867e+01,7.714285714285714635e-01,-7.104308226656389991e+01
3.232129764403357086e+00,2.235520994002085260e+01,7.129737363198248090e+01,9.343395283581692468e+00,5.625000381469726562e+01,1.000000000000000000e+00,-6.294194373500680229e+01,-1.041891002549037459e+01,8.000000000000000444e-01,-6.500337950160543699e+01
3.212715787453517269e+00,2.313364621236597429e+01,6.677183045687110052e+01,9.474897063736126057e+00,5.927000045776367188e+01,1.000000000000000000e+00,-6.004519790730333284e+01,-1.423904425453753930e+01,8.000000000000000444e-01,-5.655061574697145232e+01
3.137066034057798269e+00,2.173592986911118885e+01,6.643123358274822010e+01,9.419489445923368010e+00,6.019000244140625000e+01,1.000000000000000000e+00,-6.035198374273002742e+01,-1.384904438004532956e+01,8.000000000000000444e-01,-5.633810397963756600e+01
3.087665818733257517e+00,2.236079017191648433e+01,6.744034248027128342e+01,9.470698692449982303e+00,5.933000183105468750e+01,2.000000000000000000e+00,-6.153525077679718436e+01,-1.305841098373257481e+01,8.000000000000000444e-01,-5.366477949050188556e+01
3.447801761896296835e+00,2.365849699102458814e+01,6.827806454741626396e+01,9.611025784667852179e+00,6.003000259399414062e+01,1.000000000000000000e+00,-6.136692285057543472e+01,-1.037895455104651177e+01,7.428571428571428825e-01,-5.317092603000817519e+01
3.177563332494568460e+00,2.300386653503172241e+01,6.880415525057478021e+01,9.494233992269062838e+00,5.673000335693359375e+01,1.000000000000000000e+00,-5.915329757047960868e+01,-1.430026450185073550e+01,8.000000000000000444e-01,-5.927056039051473846e+01
3.085551964970196348e+00,2.196483571064724671e+01,7.267169015649771779e+01,9.519485137789896356e+00,5.769000244140625000e+01,1.000000000000000000e+00,-5.882759761194482451e+01,-1.582385837044165910e+01,8.000000000000000444e-01,-4.693220847112223737e+01
2.894173133443513457e+00,2.227686129036677443e+01,7.291695698019601934e+01,9.452298423659257764e+00,5.950000381469726562e+01,2.000000000000000000e+00,-6.014931416915718643e+01,-1.330157355287163945e+01,8.000000000000000444e-01,-6.291418418690204817e+01
